File_DB,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group...7,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-3S,irr-3S,u-aux,c-cop,c-aux,Total_non_zero_mors,participants,Stat
NA,eng,SALT Conversation,NA,2;9 to 3;5,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,114.5,104.5,3.29,3.59,NA,NA,NA,122.5,338.69,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,Mean
NA,eng,SALT Conversation,NA,2;9 to 3;5,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,48,44,2.27,2.49,NA,NA,NA,62,137,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,Min
NA,eng,SALT Conversation,NA,2;9 to 3;5,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,235,220,4.74,5.23,NA,NA,NA,220,719,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,Max
NA,eng,SALT Conversation,NA,2;9 to 3;5,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,60.96,56.59,0.69,0.8,NA,NA,NA,46.02,182.51,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,SD
NA,eng,SALT Conversation,NA,3;9 to 4;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,118.45,111.27,3.58,3.93,NA,NA,NA,149.91,397.82,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Mean
NA,eng,SALT Conversation,NA,3;9 to 4;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,71,64,2.78,3.02,NA,NA,NA,99,197,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Min
NA,eng,SALT Conversation,NA,3;9 to 4;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,183,179,5.18,5.82,NA,NA,NA,231,565,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Max
NA,eng,SALT Conversation,NA,3;9 to 4;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,26.55,28.26,0.77,0.87,NA,NA,NA,37.05,119.49,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,SD
NA,eng,SALT Conversation,NA,4;0 to 4;4,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,113.29,108.36,4.11,4.51,NA,NA,NA,157.71,436.71,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,Mean
NA,eng,SALT Conversation,NA,4;0 to 4;4,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,61,56,2.74,3.03,NA,NA,NA,94,252,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,Min
NA,eng,SALT Conversation,NA,4;0 to 4;4,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,195,190,5.18,5.82,NA,NA,NA,265,966,NA,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,Max
NA,eng,SALT Conversation,NA,4;0 to 4;4,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,44.24,43.91,0.77,0.85,NA,NA,NA,48.4,194.93,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,SD
NA,eng,SALT Conversation,NA,4;7 to 5;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,58.25,51.5,4.62,5.1,NA,NA,NA,96.75,238,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Mean
NA,eng,SALT Conversation,NA,4;7 to 5;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,22,17,3.65,4.24,NA,NA,NA,37,62,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Min
NA,eng,SALT Conversation,NA,4;7 to 5;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,86,79,5.51,6.09,NA,NA,NA,140,371,NA,NA,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Max
NA,eng,SALT Conversation,NA,4;7 to 5;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,25.29,23.16,0.65,0.64,NA,NA,NA,34.83,104.76,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,SD
NA,eng,SALT Conversation,NA,5;0 to 5;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,117.76,108.98,4.86,5.34,NA,NA,NA,180.5,536.33,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Mean
NA,eng,SALT Conversation,NA,5;0 to 5;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,22,17,2.81,3.03,NA,NA,NA,37,62,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Min
